iter	Passed	Remaining
792	12780	3336
793	12789	3318
794	12797	3300
795	12806	3282
796	12814	3263
797	12824	3246
798	12831	3227
799	12840	3210
800	12847	3191
801	12863	3175
802	12892	3162
803	12905	3146
804	12920	3129
805	12937	3113
806	12963	3100
807	12986	3085
808	13013	3072
809	13036	3057
810	13059	3043
811	13078	3028
812	13094	3011
813	13112	2996
814	13137	2982
815	13180	2972
816	13243	2966
817	13257	2949
818	13270	2932
819	13280	2915
820	13289	2897
821	13297	2879
822	13329	2866
823	13453	2873
824	13496	2862
825	13518	2847
826	13546	2833
827	13570	2819
828	13590	2803
829	13610	2787
830	13632	2772
831	13646	2755
832	13654	2737
833	13663	2719
834	13670	2701
835	13683	2684
836	13710	2670
837	13724	2653
838	13737	2636
839	13746	2618
840	13753	2600
841	13767	2583
842	13787	2567
843	13801	2551
844	13822	2535
845	13831	2517
846	13840	2500
847	13853	2483
848	13861	2465
849	13868	2447
850	13881	2430
851	13891	2413
852	13898	2395
853	13908	2377
854	13914	2359
855	13921	2341
856	13928	2324
857	13933	2306
858	13941	2288
859	13947	2270
860	13954	2252
861	13961	2235
862	13971	2217
863	13978	2200
864	13985	2182
865	13992	2165
866	13998	2147
867	14005	2129
868	14012	2112
869	14021	2095
870	14028	2077
871	14035	2060
872	14041	2042
873	14048	2025
874	14057	2008
875	14066	1991
876	14074	1973
877	14082	1956
878	14088	1939
879	14094	1922
880	14101	1904
881	14110	1887
882	14132	1872
883	14140	1855
884	14148	1838
885	14156	1821
886	14163	1804
887	14169	1787
888	14175	1769
889	14182	1752
890	14188	1735
891	14195	1718
892	14200	1701
893	14208	1684
894	14215	1667
895	14221	1650
896	14227	1633
897	14233	1616
898	14245	1600
899	14252	1583
900	14260	1566
901	14266	1550
902	14272	1533
903	14279	1516
904	14286	1499
905	14293	1483
906	14300	1466
907	14307	1449
908	14313	1432
909	14319	1416
910	14325	1399
911	14331	1382
912	14336	1366
913	14343	1349
914	14349	1332
915	14357	1316
916	14363	1300
917	14369	1283
918	14375	1267
919	14381	1250
920	14388	1234
921	14393	1217
922	14399	1201
923	14407	1185
924	14413	1168
925	14419	1152
926	14424	1135
927	14430	1119
928	14436	1103
929	14441	1087
930	14447	1070
931	14454	1054
932	14459	1038
933	14465	1022
934	14473	1006
935	14479	990
936	14486	974
937	14491	957
938	14497	941
939	14503	925
940	14510	909
941	14516	893
942	14522	877
943	14528	861
944	14534	845
945	14539	829
946	14545	814
947	14551	798
948	14556	782
949	14566	766
950	14572	750
951	14577	735
952	14584	719
953	14590	703
954	14597	687
955	14603	672
956	14609	656
957	14616	640
958	14623	625
959	14631	609
960	14636	593
961	14642	578
962	14648	562
963	14654	547
964	14664	531
965	14674	516
966	14681	501
967	14688	485
968	14696	470
969	14702	454
970	14709	439
971	14717	423
972	14723	408
973	14730	393
974	14736	377
975	14744	362
976	14753	347
977	14763	332
978	14770	316
979	14777	301
980	14785	286
981	14794	271
982	14800	255
983	14810	240
984	14819	225
985	14826	210
986	14832	195
987	14837	180
988	14844	165
989	14850	150
990	14857	134
991	14863	119
992	14868	104
993	14875	89
994	14880	74
995	14886	59
996	14892	44
997	14898	29
998	14904	14
999	14910	0
	155
991	17109	137
992	17129	120
993	17138	103
994	17150	86
995	17159	68
996	17166	51
997	17180	34
998	17190	17
999	17196	0
5	20724	83
996	20735	62
997	20796	41
998	20841	20
999	20864	0
997	21592	43
998	21599	21
999	21608	0
